date,firm_id,employment_t,wage_bill_t,revenue_t,adopt_t
2019-20-10,AAAI-15,157,51401.8,2465907.9,0
2019-10-19,ABFM-90,64,22718.72,598372.9,1
2019-10-16,ABZO-32,112,38470.88,940522.11,0
2019-10-26,ACWI-63,61,8374.08,NA,0
2019-10-16,ADAY-83,56,13609.12,238220.25,0
2019-10-22,AEOJ-42,135,39865.5,NA,0
2019-10-24,AGNI-54,48,12901.44,201100.9,1
2019-4-10, AGQV-46 ,149,44434.78,2166878.4,0
2019-10-15,AGZJ-96,51,15254.61,81201.68,0
2019-10-23,AJHZ-77,41,12871.95,409642.38,1
2019-10-02,AJMB-61,82,13790.76,799886.64,1
2019-10-06,ALWP-80,35,9500.4,64295.22,0
2019-10-27,ANGH-88,67,25389.65,289882.6,1
2019-10-19,ANTI-83,136,63808.48,411772.64,0
2019-10-10,ANUA-91,140,48792.8,728923.1,0
2019-10-19,AOCF-99,130,21500.7,NA,0
2019-10-06,AOQS-19,140,50268.4,1050639.84,0
2019-6-10,  APQU-61  ,106,22023.62,358024.14,0
2019-10-20,AQXG-43,145,66611.55,1275869.29,0
2019-10-30,ARNP-18,52,30096.56,205190.16,1
2019-10-07,ATFU-64,27,2196.72,21423.92,0
2019-10-29,AUWB-47,37,8199.57,50216.4,1
2019-10-06,BBMC-11,71,48079.07,350453.76,0
2019-10-12,BETS-11,NA,NA,73589.04,0
2019-10-20,BGNL-80,52,8073,143488.47,0
2019-10-22,BKTH-04,46,16393.94,289885.76,1
2019-10-18,BLZJ-6000,137,57786.6,1389672.16,0
2019-10-13,BNEK-88,119,47922.49,1992268.32,1
2019-10-29,BOAH-01,125,40460,1317863.8,0
2019-10-04,BORR-04,38,6239.6,52122,0
2019-10-01,BPBH-11,NA,NA,33014.82,1
2019-10-02,BQBX-87,60,14176.8,NA,0
2019-10-02,BRNM-67,181,60696.54,1640742.32,0
2019-10-15,BTOY-69,104,40902.16,895926.63,0
2019-10-03,BVND-31,60,20937,88210.98,1
2019-10-04,BVRT-86,105,31713.15,1108199.15,0
2019-10-07,BVZX-93,70,22745.1,768253.2,1
2019-10-10,BWVK-9400,104,21581.04,145137.2,0
2019-10-23,BXCG-45,151,45515.93,642337.45,0
2019-10-02,BZAO-84,27,NA,109840,1
2019-16-10,BZOC-10,109,36281.74,977455.8,0
2019-10-12,CCGI-58,138,36372.66,350919,0
2019-10-25, CDIB-55 ,90,29709.9,831069.41,0
2019-10-21,CHSM-02,51,10558.53,206175.36,0
2019-10-14,CLKS-21,110,29157.7,569485.29,0
2019-10-14,CNGK-74,27,9545.58,NA,1
2019-10-03,COGZ-02,53,9390.54,242716.18,1
2019-10-22,CTKW-58,150,46510.5,971589,0
2019-10-04,CUCC-12,27,6473.25,83641.8,1
2019-10-12,CVSM-61,50,24838,102556.16,0
2019-10-24,CWVJ-79,108,35026.56,696258,0
2019-10-22,CZAZ-20,74,16256.32,293251.09,1
2019-10-09,DALN-27,93,27861.87,976327,1
2019-10-23,DBJK-96,117,39579.93,1290992.13,0
2019-10-25,DGFH-17,59,21455.35,362529.68,1
2019-10-09,DGHU-53,108,29189.16,1105832.98,0
2019-10-28,DHEN-55,114,24812.1,552402.1,0
2019-10-28,DJGP-25,122,48985.44,465938.76,0
2019-10-03,DJLH-51,133,31078.11,767773.84,0
2019-10-15,DLLP-38,76,31996.76,139057.16,0
2019-10-20,DNYC-17,36,11554.56,102176.1,1
2019-10-10,  DRHS-49  ,141,52116.42,2340022.96,0
2019-10-24,DSSL-68,153,57632.04,986078.78,0
2019-10-28,DTVV-40,142,53254.26,906281.63,0
2019-10-29, DUYT-5400 ,32,15226.24,39430.82,1
2019-10-04,DVOS-72,110,43050.7,771388.92,0
2019-10-10,DWCT-33,104,32693.44,749625.54,0
2019-10-22,DWRR-51,93,22163.76,2147033.7,1
2019-10-12,DYAC-55,54,13333.68,82924.4,0
2019-10-02,EABV-83,162,139541.94,829074.75,0
2019-10-16,  EADB-29  ,38,9425.9,68415.58,0
2019-10-02,EALM-41,146,26937,1811479.77,0
2019-10-05,EFIJ-41,153,52050.6,1165170.45,0
2019-10-01,EGEJ-42,43,14107.44,NA,0
2019-10-07,EIJS-05,105,59976,1625950.96,1
2019-10-22,EJHQ-7000,85,29209.4,205222.3,1
2019-10-20,EKGB-30,45,10425.6,154812.3,1
2019-10-30,EKLL-99,89,45522.61,291762.5,0
2019-10-23,EMMR-8200,131,54682.02,1404638.76,0
2019-10-15,EOIW-74,117,54113.67,2631963.6,0
2019-10-01,EPFE-7800,NA,NA,987376.32,0
2019-10-10,EQXZ-18,117,32467.5,1518535.1,0
2019-10-18,ESRT-15,136,76389.84,677413.05,0
2019-16-10,ETWL-08,62,15394.6,169510.05,1
2019-10-27,EVBZ-97,159,52568.58,859916.61,0
2019-10-30,EVIB-91,75,17185.5,230321.27,0
2019-10-17,EXQK-17,NA,NA,216148.96,1
2019-10-25,EXZI-94,43,15577.18,62519.75,1
2019-10-11,EYPW-38,NA,NA,74621.52,0
2019-10-11,EZIB-95,80,25149.6,304278.48,1
2019-10-29,FAZF-63,125,37015,734952,0
2019-10-10,FEFC-80,61,24046.81,243291.76,0
2019-10-06,FEIE-56,147,33937.89,4031036.96,0
2019-10-06,FGAR-76,67,14025.11,379159.06,1
2019-10-04,FGIX-57,145,23590.05,1030899.69,0
2019-10-09,FHRD-18,151,88976.75,3314707.41,0
2019-10-03,FKAF-79,110,56823.8,251020.08,0
2019-10-15,FORU-75,49,15578.57,250334.93,1
2019-10-15, FOZM-21 ,71,9266.21,1120906.15,1
2019-10-07,FRJA-10,86,30652.12,398503.04,1
2019-10-24,FRVM-45,48,9304.32,414826.16,0
2019-10-02,FSCQ-90,101,24199.6,690002.28,0
2019-10-08, FTIC-42 ,133,57828.4,819778.6,0
2019-10-11,FVHQ-72,135,101498.4,1172473.2,0
2019-10-07,FWNA-66,125,54046.25,1468189.8,0
2019-10-14,FWSF-64,34,8439.48,81318.25,1
2019-10-21,FWXY-88,73,18590.18,333407.55,0
2019-10-29,FYQD-98,37,12291.4,129740.8,1
2019-10-15,FZLO-08,66,22067.1,202491.54,1
2019-10-19,GADO-05,63,24229.8,77998.6,0
2019-10-29,GAWB-9200,109,22278.51,584043.88,0
2019-10-09,GBKF-3700,149,31638.66,2980914.93,0
2019-10-24,GBMI-21,61,17841.28,433598.24,1
2019-10-30,GGGM-03,82,40867.16,98294.56,1
2019-10-10,GGQL-80,93,27810.72,455597.61,0
2019-10-02,GHDP-86,33,12618.21,89216.1,1
2019-10-24,GHOU-19,84,43554,1106980.04,1
2019-10-01,GIKU-22,108,19354.68,456505.88,0
2019-10-08,GINQ-80,63,24146.01,348499.71,0
2019-10-15,GJGZ-6600,131,35677.85,517641,0
2019-10-09,GJTF-49,44,17407.72,202426.48,1
2019-10-22,GKBW-36,73,39591.55,446680.2,1
2019-10-28,GKIO-18,126,52588.62,640952.6,0
2019-9-10,GKKA-31,120,53120.4,1260085.92,0
2019-10-17,GNDC-01,70,23212.7,226633.41,1
2019-10-21,GNHW-68,NA,NA,116537.2,1
2019-10-21,GORH-15,150,26742,1582057.12,0
2019-10-03,GPEI-90,57,23245.74,163267.5,1
2019-10-30,GQNG-17,80,22313.6,NA,0
2019-10-11,GQTY-01,137,67153.29,1263706.08,0
2019-10-04,GSPM-38,160,36912,2626773.6,0
2019-10-25,GWCM-3900,69,19836.12,NA,1
2019-10-07,GWVB-84,114,44645.82,NA,0
