firm_id,date,sales_t
 AAAI-15 ,2010-01-14,11382
AAAI-15,2010-02-23,13195
AAAI-15,2010-03-10,18955
AAAI-15,2010-04-20,18423
AAAI-15,2010-05-10,12744
AAAI-15,2010-06-20,13118
AAAI-15,2010-07-29,17215
AAAI-15,2010-08-28,12550
AAAI-15,2010-09-21,NA
AAAI-15,2010-10-23,15101
AAAI-15,2010-11-10,13750
AAAI-15,2010-12-28,11063
AAAI-15,2011-01-17,15024
AAAI-15,2011-02-20,11619
AAAI-15,2011-03-06,10057
AAAI-15,2011-04-05,11231
AAAI-15,2011-05-27,13104
AAAI-15,2011-06-14,11231
AAAI-15,2011-07-26,NA
AAAI-15,2011-08-13,15256
AAAI-15,2011-09-29,10824
AAAI-15,2011-10-08,11786
AAAI-15,2011-11-28,13142
AAAI-15,2011-12-16,11183
AAAI-15,2012-01-12,14494
AAAI-15,2012-02-07,14105
AAAI-15,2012-03-21,13988
AAAI-15,2012-04-17,14642
  AAAI-15  ,2012-05-17,22260
AAAI-15,2012-06-05,14500
AAAI-15,2012-07-11,12156
AAAI-15,2012-08-08,9398
AAAI-15,2012-09-01,13925
AAAI-15,2012-10-12,16253
AAAI-15,2012-11-27,16613
AAAI-1500,2012-12-12,13376
  AAAI-15  ,2013-01-07,10918
AAAI-15,2013-02-16,12132
AAAI-15,2013-03-21,13745
AAAI-15,2013-04-15,NA
AAAI-15,2013-05-12,14278
AAAI-15,2013-06-04,13365
AAAI-1500,2013-07-29,13047
AAAI-15,2013-08-17,NA
AAAI-15,2013-09-21,14803
AAAI-1500,2013-10-07,13896
AAAI-1500,2013-11-06,11641
AAAI-15,2013-12-03,16299
  AAAI-15  ,2014-01-24,9876
 AAAI-15 ,2014-02-22,13995
AAAI-15,2014-03-13,15986
AAAI-15,2014-04-04,11912
AAAI-15,2014-05-17,12946
AAAI-15,2014-06-28,14969
AAAI-15,2014-07-24,18748
  AAAI-15  ,2014-08-23,10351
AAAI-15,2014-09-06,15209
  AAAI-15  ,2014-10-08,16934
AAAI-15,2014-11-13,12657
AAAI-15,2014-12-10,14542
AAAI-15,2015-01-15,16947
AAAI-15,2015-02-22,13743
AAAI-15,2015-03-21,17220
AAAI-15,2015-04-09,18123
 AAAI-15 ,2015-05-29,14388
AAAI-15,2015-06-04,14618
AAAI-15,2015-07-21,13444
AAAI-15,2015-08-13,22527
AAAI-15,2015-09-15,17855
 AAAI-15 ,2015-10-26,12156
