date,firm_id,employment_t,wage_bill_t,revenue_t,adopt_t
2010-02-23,AAAI-15,170,57184.6,1056391.7,0
2010-02-13,ABFM-90,70,14928.2,213573.8,0
2010-02-18,ABZO-32,106,26342.06,1088563.14,0
2010-02-10,ACWI-63,67,16917.5,210554.34,0
2010-02-13,ADAY-83,54,11429.64,81291.6,0
2010-02-19,AEOJ-42,124,34521.6,1128775.5,0
2010-02-10,AGNI-54,45,11679.75,NA,0
2010-02-21,AGQV-46,156,50762.4,1219410.99,0
2010-02-24,AGZJ-96,43,11536.9,127313.52,0
2010-02-12,  AJHZ-77  ,46,9676.1,91018.53,0
2010-02-25, ALWP-80 ,35,6604.5,40319.34,0
2010-02-13,ANGH-88,69,19121.97,399807.48,0
2010-02-14,  ANTI-83  ,130,40723.8,657920.7,0
2010-02-02,ANUA-91,148,39868.24,1125121.2,0
2010-02-24,AOCF-99,131,38013.58,1234477.56,0
2010-02-03,  AOQS-19  ,141,57676.05,934309.31,0
2010-02-02,APQU-6100,108,34774.92,462840.02,0
2010-02-16,ARNP-18,51,13300.29,168937.5,0
2010-02-15,ATFU-64,29,5743.45,26531.22,0
2010-02-17,AUWB-47,41,8940.46,79457.07,0
2010-02-13,AWQI-89,33,7948.38,39797.68,0
2010-02-08,BBMC-11,75,18262.5,269400.64,0
2010-02-26,BETS-11,59,14308.09,226603.52,0
2010-02-07, BGNL-80 ,62,13909.7,108990.7,0
2010-02-19,BKTH-04,47,12643,119052.78,0
2010-02-15,BLZJ-60,154,53920.02,1320587.52,0
2010-02-20,  BNEK-88  ,130,48200.1,692916.35,0
2010-02-11,BOAH-01,122,35915.58,1098666.02,0
2010-02-04,BORR-04,41,10331.59,66521.25,0
2010-02-25,BPBH-11,35,7036.75,37826.04,0
2010-02-10,BQBX-87,60,15745.8,179199.49,0
2010-02-08,BRNM-67,156,56450.16,2305933.99,0
2010-02-17,BTOY-69,103,40620.11,1021336.08,0
2010-02-09,BVND-31,70,19013.4,141718.5,0
2010-02-01,BVRT-86,91,26393.64,301254.08,0
2010-02-11,BVZX-93,NA,NA,225631.9,0
2010-02-15, BWVK-94 ,NA,NA,629580.72,0
2010-02-03,BXCG-45,151,52253.55,2133465.62,0
2010-02-15,BZAO-84,34,8376.58,42310.8,0
2010-02-01,CCGI-5800,149,52142.55,1243230,0
2010-02-12,CDIB-55,91,23040.29,535256.79,0
2010-02-27,CHSM-02,45,11676.15,80579.76,0
2010-02-02,CJFP-77,74,20850.98,231232.8,0
2010-02-12,CLKS-21,95,26482.2,382019.22,0
2010-02-02,CNGK-74,23,4882.9,26248.58,0
2010-02-07,COGZ-02,53,11801.51,103146.4,0
2010-02-12,CTKW-58,133,45108.28,887000.94,0
2010-02-03,CUCC-12,29,5106.03,37284.25,0
2010-02-26,CVSM-61,48,11307.36,90839.19,0
2010-02-22,CWVJ-79,105,28293.3,469977.86,0
2010-02-26,CXGP-45,103,33274.15,645119.64,0
2010-02-18,CXMB-63,48,12442.56,NA,0
2010-02-24,CZAZ-20,77,23193.94,360251.24,0
2010-02-26,DALN-27,78,19003.14,NA,0
2010-02-09, DBJK-96 ,127,41149.27,1562155.16,0
2010-02-02,DGFH-17,53,14746.19,187185.6,0
2010-02-18,DGHU-53,106,26731.08,504982.4,0
2010-02-03,DHEN-55,116,31132.08,671536.8,0
2010-02-05,  DJGP-25  ,134,37915.3,740371.52,0
2010-02-08,DJLH-51,120,32587.2,559902.55,0
2010-02-07,DLLP-38,85,25112.4,247884.98,0
2010-02-01,DSSL-68,131,48280.05,1293453.5,0
2010-02-15,DTVV-40,154,41176.52,1084322,0
2010-02-26,DUYT-54,33,6571.95,29495.41,0
2010-02-06,DVKY-33,48,10260,82170.09,0
2010-02-22,DVOS-72,113,36588.27,814256.4,0
2010-02-01,DWCT-33,112,28693.28,591002.73,0
2010-02-16,DWRR-51,92,25536.44,465077.25,0
2010-02-10,DYAC-55,52,14481.48,143503.5,0
2010-02-15,EABV-83,174,57717.54,2023905.45,0
2010-02-11,EADB-29,40,9512.4,67792.14,0
2010-02-17,EFIJ-41,137,43365.98,1670690.9,0
2010-02-19, EIJS-05 ,103,30744.47,506595.24,0
2010-02-26,EJHQ-70,66,17996.22,210288,0
2010-02-02,EKGB-30,36,8141.04,72752.35,0
2010-02-25,EKLL-99,80,24315.2,338350,0
2010-02-22,EMMR-82,145,40275.2,723563.12,0
2010-02-14,EOIW-74,122,39878.14,1290438.6,0
2010-02-11,EPFE-78,146,53146.92,1435456.88,0
2010-02-23,EQXZ-18,130,34430.5,729117.76,0
2010-02-10,ESRT-15,122,46136.74,1268162.7,0
2010-02-02,ETME-37,47,10727.75,127653.21,0
2010-02-01,ETWL-08,65,19286.8,149736.96,0
2010-02-21,EVBZ-97,148,48326.44,1155350.24,0
2010-02-03,EVIB-91,69,16884.99,290138.1,0
2010-02-13,EXQK-17,34,6633.4,45786.6,0
2010-02-25,EXZI-94,51,14125.47,85378.28,0
2010-02-27,EYPW-38,34,7838.02,59678.08,0
2010-02-26,FAZF-63,125,37852.5,640454.03,0
2010-02-18,FEFC-80,67,19671.2,166734.96,0
2010-02-21,FEIE-56,NA,61987.08,2019367.8,0
2010-02-10,FGAR-76,61,15004.78,160179.12,0
2010-02-10,FGIX-57,140,52866.8,1661936.2,0
2010-02-03,FHRD-18,162,52384.32,1100556.6,0
2010-18-2,FKAF-79,122,39847.64,930464.64,0
2010-02-14,FORU-75,44,10655.92,95720.38,0
2010-02-06,FOZM-21,67,21818.55,185009.66,0
2010-02-16,FSCQ-9000,91,28546.7,500354.1,0
2010-02-02,FTIC-4200,133,41170.15,760735.2,0
2010-02-13,FURT-83,129,38371.05,784869.86,0
2010-02-17,FVHQ-72,156,53431.56,1466135,0
2010-02-03,FWNA-66,122,36709.8,504229.98,0
2010-02-06,FWSF-64,35,7944.65,69184.87,0
2010-02-12,FWXY-88,81,22441.86,392396.56,0
2010-02-16,FYQD-98,40,9889.6,95364.54,0
2010-02-02,FZLO-08,64,13703.68,250431.53,0
2010-02-24,GADO-05,63,13312.53,129113.6,0
2010-02-03,GAEQ-26,28,4758.04,23527.16,0
2010-13-2,GAHZ-36,114,32572.08,800646,0
2010-02-11, GAWB-92 ,116,39933,990907.38,0
2010-02-18,GBKF-37,143,45993.09,804861.64,0
2010-02-17,GBMI-21,NA,18397.14,275429.83,0
2010-02-16,GGGM-03,87,25685.88,264945.28,0
2010-02-06,GGQL-80,97,30791.68,364623.61,0
2010-02-08,GHDP-86,29,5317.44,54930.29,0
2010-02-02,GHOU-19,86,26316.86,397218.92,0
2010-02-18,GIKU-22,96,32055.36,712480,0
2010-02-07,GINQ-80,65,14023.75,172308,0
2010-02-14,GJGZ-66,128,35965.44,573980.05,0
2010-02-10,GJTF-49,37,9335.47,94714.16,0
2010-27-2,GKBW-36,74,17534.3,174093.05,0
2010-02-07,GKIO-1800,117,34836.75,1168826.78,0
2010-02-04,GKKA-31,133,44238.46,1135956.28,0
2010-02-17,GNDC-01,85,24632.15,194220.03,0
2010-02-14,GNHW-68,33,6017.88,53203.2,0
2010-02-26,GPEI-90,55,12659.35,108209.18,0
2010-02-09,GQNG-17,80,23280,622723.59,0
2010-02-16,GQTY-01,138,NA,873151.29,0
2010-02-04,GSPM-38,167,40911.66,1074715.36,0
2010-02-26,GWCM-39,72,23051.52,246513.6,0
2010-02-01, GWVB-8400 ,108,32216.4,909946.88,0
2010-02-01,GXUL-07,43,11639.67,69260.75,0
2010-02-04,HESF-31,110,30643.8,797256,0
2010-02-14,HEWB-45,48,11717.76,110803.71,0
2010-02-04,HJUU-82,140,40864.6,1717118.6,0
2010-02-07,HKYA-83,110,36469.4,1147783,0
2010-02-19,HLPO-48,114,34104.24,971411.04,0
2010-02-22,HLPW-01,149,53932.04,852221.25,0
2010-02-17,HMHC-72,129,40818.18,1603384.65,0
2010-02-18,HMPF-83,30,5970.6,30708.04,0
2010-02-15,HNRD-42,133,37285.22,1299355.56,0
2010-02-16,HSCY-26,140,45038,684693.9,0
2010-02-18,HSFT-11,94,27617.2,385727.1,0
2010-02-11, HTJN-49 ,56,13549.76,119018.36,0
2010-02-06,HTJY-48,61,17371.58,306963.24,0
2010-02-18,HUMW-75,140,41560.4,2147931.61,0
2010-02-22,HVAU-63,46,10482.94,70474.94,0
2010-02-03,HYQS-89,68,20185.8,127745.55,0
2010-02-20,HZQK-54,73,16081.17,415529.66,0
2010-02-10,HZWL-46,121,42554.49,917035.68,0
2010-02-12,IBPI-71,132,40229.64,774820.68,0
2010-02-27,IEVL-29,NA,20857.98,427262.04,0
2010-02-17,IFEF-82,86,22533.72,484276.77,0
2010-02-17,IFFS-4600,144,48251.52,1214689.34,0
2010-02-21,IGUI-59,35,7242.2,58720.48,0
2010-02-12,IHVQ-1800,106,28702.68,395254.73,0
2010-02-21,IJTA-78,130,39457.6,689806.86,0
2010-3-2,ILGL-89,122,37868.8,878452.08,0
2010-02-23,IPLT-71,156,49623.6,1016823.92,0
2010-02-13,IQFC-40,139,38479.37,1186491.74,0
2010-02-03, IQIV-28 ,165,62148.9,994074,0
2010-02-17,IRMF-38,55,13588.3,176672.1,0
2010-02-04,IRQR-89,101,35835.81,937123.49,0
2010-02-07, ITZA-04 ,86,28038.58,443353.05,0
2010-02-03,IVNI-46,55,13830.85,91294.2,0
2010-02-01,IWEI-53,NA,NA,663080.7,0
2010-02-12,IWOZ-83,139,37795.49,1142324.92,0
2010-02-22,IXKO-13,155,53189.8,1246129.92,0
2010-02-26,IYNL-07,111,34558.74,729728.24,0
2010-02-12,IZDU-98,130,33572.5,1153327,0
2010-02-01,IZOR-96,122,36983.08,643081.2,0
2010-02-20,JHSO-64,78,25371.06,225215.2,0
2010-02-19,JIUP-65,95,24558.45,443852.16,0
2010-02-25,JOPU-74,83,27209.89,381493.42,0
2010-02-05,  JQQI-39  ,77,20568.24,338316.7,0
2010-02-11,JRGZ-90,33,6089.16,44774.01,0
2010-02-22,  JRHU-90  ,63,15092.91,166329.08,0
2010-02-14,JRLK-29,111,33323.31,698833.08,0
2010-02-19,JTOY-20,83,23365.33,366057.63,0
2010-02-27,JUJT-43,116,34776.8,NA,0
2010-02-05, JXVC-04 ,85,25921.6,462054.78,0
2010-02-11,JYDY-26,121,29648.63,622280.88,0
2010-02-15,JYWM-78,44,11476.52,77666.76,0
2010-02-15,KALY-35,NA,NA,530659.02,0
2010-02-19,  KBGA-72  ,99,27745.74,491265.88,0
2010-02-20,KDES-16,104,25490.4,737878.44,0
2010-02-09,KEJO-66,150,46534.5,1986117.08,0
2010-02-03,KGGV-64,91,18844.28,330768.32,0
2010-02-25,KIZI-33,112,34696.48,1038952.42,0
2010-02-01,KMBZ-40,143,44464.42,1343790.58,0
2010-02-16,KODA-55,51,11904.93,115185.28,0
2010-20-2,KOEV-74,100,29012,1172626.84,0
2010-02-16,KQPP-50,78,18991.44,465605.58,0
2010-02-11,KSMB-93,103,35299.13,408083.04,0
2010-02-26,KTEW-16,131,33501.94,692976.96,0
