date,firm_id,employment_t,wage_bill_t,revenue_t,adopt_t
2015-09-15,AAAI-15,149,49523.13,1516782.25,0
2015-09-04,ABFM-90,64,22384.64,425324.71,1
2015-09-15,ABZO-32,116,45306.12,1547718.75,0
2015-09-14,ACWI-63,69,12920.94,332375.85,0
2015-09-04,ADAY-83,50,10564,121093.24,0
2015-09-22,AEOJ-42,125,58780,966647.16,0
2015-09-12,AGNI-54,45,16583.85,312867.3,1
2015-09-26,AGQV-46,166,63792.14,1010223.5,0
2015-09-13,AGZJ-96,47,20489.18,128001.6,0
2015-09-29,  AJHZ-77  ,42,15061.62,408549.7,1
2015-09-06,AJMB-61,76,23739.36,555289.92,1
2015-09-27,ALWP-80,31,7531.45,55917.8,0
2015-09-02,ANGH-88,73,32827.37,482581.2,1
2015-09-10,ANTI-83,119,45985.17,370241.24,0
2015-09-05,ANUA-91,153,64657.8,596931.72,0
2015-09-28,AOCF-99,122,35017.66,1296568.07,0
2015-6-9,AOQS-19,127,34898.33,1316960.73,0
2015-09-28,APQU-61,105,20365.8,423411.12,0
2015-09-04,AQXG-43,140,70632.8,1149866.07,0
2015-09-04,ARNP-18,55,39859.05,117176.4,1
2015-09-21,ATFU-64,26,4078.62,15255.3,0
2015-12-9,AUWB-47,39,12620.01,45080.84,1
2015-09-06,BBMC-11,81,32857.65,249993.92,0
2015-09-20, BETS-11 ,60,21451.2,68760,0
2015-09-19, BGNL-8000 ,62,10457.54,143145.6,0
2015-09-09,BKTH-04,49,18156.95,359615.06,1
2015-09-19,  BLZJ-60  ,142,72300.72,1284807.3,0
2015-10-9,BNEK-88,121,70340.93,1148304.26,1
2015-09-12,BOAH-01,125,37276.25,1668131.86,0
2015-09-08,BORR-04,38,5773.34,41822.86,0
2015-09-06,BPBH-11,37,8508.89,64855.44,1
2015-09-24,BQBX-87,57,15167.7,147005.04,0
2015-09-23,BRNM-67,158,74490.68,2905533.96,0
2015-09-18,BTOY-69,101,53098.73,659070.3,0
2015-09-07,BVND-31,60,39864,76727.58,1
2015-09-22,BVRT-86,95,21853.8,675257.22,0
2015-09-25,BVZX-93,71,15163.47,503137.25,1
2015-09-12,BWVK-94,108,NA,281953.32,0
2015-09-06,BXCG-45,NA,NA,733229.88,0
2015-09-25,BZAO-84,NA,NA,68918.85,1
2015-09-13,BZOC-10,120,48787.2,563653.25,0
2015-09-24,CCGI-58,142,47626.8,790112.35,0
2015-09-08,CDIB-55,98,30104.62,517351.24,0
2015-09-12,CHSM-02,47,9190.85,NA,0
2015-09-27,CJFP-77,79,13607.75,257255.44,0
2015-09-19,CLKS-21,102,20337.78,385638.82,0
2015-09-17,  CNGK-74  ,24,6488.64,52684.72,1
2015-09-13,COGZ-02,51,9379.41,219592.5,1
2015-09-03,CTKW-5800,144,46880.64,1056684.57,0
2015-09-02,CUCC-12,NA,7777.68,43833.5,1
2015-09-17,CVSM-6100,44,17068.04,95292.34,0
2015-09-20,CWVJ-79,125,37132.5,833869.08,0
2015-09-10,CXGP-45,113,28805.96,717023.52,0
2015-15-9, CZAZ-20 ,90,25362,181973.7,1
2015-09-12,DALN-27,92,32295.68,NA,1
2015-09-09,DBJK-96,117,38973.87,1096939.09,0
2015-09-17,DGFH-17,66,21537.12,203319.48,1
2015-09-29,DGHU-53,115,37798.2,977791.22,0
2015-09-10,DHEN-55,108,18199.08,801910.32,0
2015-09-09,DJGP-25,133,70668.22,797460.48,0
2015-09-13,DJLH-51,139,26818.66,728597.4,0
2015-09-10,DLLP-38,68,22006.84,238846.72,0
2015-09-12,DNYC-17,36,11175.84,61986.73,1
2015-09-10,DSSL-68,144,55431.36,808534.15,0
2015-09-09,  DTVV-40  ,151,56049.69,872063.01,0
2015-09-08,DUYT-5400,33,18079.05,28970.19,1
2015-09-12,DVKY-33,47,19986.28,112223.24,1
2015-09-05,DVOS-72,126,37784.88,705120.48,0
2015-09-17,DWCT-33,119,30901.92,777606.48,0
2015-09-26,DWRR-51,101,23496.64,1682335.3,1
2015-09-22, DYAC-55 ,53,19119.22,72363.5,0
2015-09-27,EABV-83,150,65631,790199.28,0
2015-09-09,EADB-29,38,7410.76,52783.52,0
2015-09-10,EFIJ-41,139,39936.09,1722550,0
2015-09-19,  EGEJ-42  ,37,11380.46,141162.57,0
2015-09-04,EIJS-05,98,44697.8,736453.32,1
2015-29-9,EJHQ-7000,74,27201.66,262003.5,1
2015-09-06,EKGB-30,40,8729.2,140014.08,1
2015-09-07,EKLL-99,87,39401.43,210278.25,0
2015-09-16,EMMR-82,125,48197.5,1027258.26,0
2015-09-08,EOIW-74,133,59742.27,3056756.48,0
2015-09-29,EPFE-78,135,48604.05,755483.96,0
2015-09-02,EQXZ-18,115,34186.05,1321709.13,0
2015-09-06,ESRT-15,127,57260.49,553679.1,0
2015-09-11,ETWL-08,57,21176.64,213081.84,1
2015-09-10,EVBZ-9700,137,61525.33,1700412.8,0
2015-09-03,EVIB-91,67,14723.92,368956.62,0
2015-09-06,EXQK-17,34,11367.22,90102.3,1
2015-09-22,EXZI-94,48,15633.12,67158.52,1
2015-09-22,EYPW-38,35,8511.3,48264.12,0
2015-09-15,FAZF-63,115,25063.1,602469.5,0
2015-09-01,FEFC-80,62,20424.04,293624.64,0
2015-09-19,FEIE-5600,147,54904.5,3202463.79,0
2015-09-26,FGAR-76,68,26014.08,354997.7,1
2015-09-24,FGIX-57,158,28168.24,2346788.9,0
2015-09-29,FHRD-18,146,43483.18,1564977.96,0
2015-09-22,FKAF-79,102,38076.6,527245.08,0
2015-09-02,FORU-75,46,18353.08,195772.72,1
2015-09-19,FOZM-21,66,12301.08,1000108.36,1
2015-09-07,FRVM-4500,48,9794.88,268084.24,0
2015-09-24,FSCQ-90,100,30307,744786.72,0
2015-09-28,FTIC-42,127,39422.07,NA,0
2015-09-11,FVHQ-7200,135,105219,914199.2,0
2015-09-23,FWNA-66,120,46364.4,1729387.66,0
2015-09-01,FWSF-64,39,12978.42,75767.13,1
2015-09-16,FWXY-88,74,17226.46,363524.4,0
2015-09-03,FYQD-98,45,21737.7,109190.51,1
2015-28-9, FZLO-08 ,61,24495.16,227742.03,1
2015-09-09,GADO-05,66,18652.92,124113.51,0
2015-09-03,GAWB-92,102,25546.92,460490.92,0
2015-09-08, GBKF-37 ,145,46761.05,1417756.74,0
2015-09-18, GBMI-21 ,66,22929.06,419989.14,1
2015-09-28,GGGM-03,83,28982.77,198323.35,1
2015-09-07,GGQL-80,108,32826.6,NA,0
2015-09-11,GHDP-86,28,8523.2,57170.32,1
2015-09-05, GHOU-19 ,93,45830.4,806711.73,1
2015-09-09, GIKU-22 ,112,NA,593876.79,0
2015-09-24,GINQ-80,59,18221.56,207852.75,0
2015-09-24,GJGZ-66,119,24693.69,NA,0
2015-09-18,  GJTF-49  ,37,17703.76,170469.68,1
2015-7-9,GKBW-36,71,27880.99,319136.96,1
2015-09-26,GKIO-18,126,49501.62,402840.24,0
2015-09-26,GKKA-31,122,50520.2,NA,0
2015-09-15,GNDC-01,76,26259.52,181681.25,1
2015-09-01,GNHW-68,NA,NA,60472.32,1
2015-09-11,GPEI-90,54,16360.38,210590.3,1
2015-09-05, GQNG-17 ,92,NA,485488.08,0
2015-29-9,  GQTY-01  ,139,57817.05,1520925.33,0
2015-09-15,GSPM-38,146,36313.12,1553931.36,0
2015-09-14,GWCM-39,63,29966.58,594891.44,1
2015-09-02,GWVB-84,110,46343,881567.24,0
2015-09-14,GXUL-07,42,13215.3,116002.68,1
2015-09-12,HESF-31,103,22485.93,345015.45,0
2015-09-11,HEWB-45,49,16033.78,245422.08,1
2015-09-24,HJUU-82,132,42927.72,1516282.85,0
2015-09-23,HKYA-83,123,27647.94,749134.75,0
2015-09-27,HLPO-48,129,41018.13,864894.52,0
2015-09-04,  HLPW-01  ,137,24084.6,413834.4,0
