date,firm_id,employment_t,wage_bill_t,revenue_t,adopt_t
2018-02-26,AAAI-15,148,40287.08,1459081.4,0
2018-02-08,ABFM-90,60,16806.6,387296,1
2018-02-22,  ABZO-32  ,114,33911.58,1658713.46,0
2018-02-11,ACWI-63,66,9581.88,516630.27,0
2018-26-2,ADAY-83,43,9739.5,194536.06,0
2018-02-04,AEOJ-42,NA,NA,685230.48,0
2018-02-05,AGNI-54,49,21801.08,233082.15,1
2018-02-15,AGQV-46,156,60226.92,1704934.38,0
2018-02-09,AGZJ-96,44,13356.2,149505.84,0
2018-02-20,AJHZ-77,44,12981.76,483820.8,1
2018-02-01,AJMB-61,NA,NA,545942.96,1
2018-02-13,ALWP-80,31,7946.85,63879.2,0
2018-02-07,ANGH-88,NA,NA,360206.4,1
2018-02-14,ANTI-83,127,71335.9,556657.37,0
2018-02-17, ANUA-91 ,146,43313.82,365381.7,0
2018-02-15,AOCF-99,110,17847.5,965050.5,0
2018-02-26,AOQS-19,134,45781.1,1129396.68,0
2018-02-05,APQU-61,98,16780.54,425640.6,0
2018-02-18,AQXG-43,147,58824.99,1877104.8,0
2018-02-25,ARNP-18,NA,NA,126136.5,1
2018-02-18,  ATFU-64  ,26,3247.66,24467.4,0
2018-02-26,AUWB-47,38,10880.16,42883.75,1
2018-02-06,BBMC-11,75,38235.75,NA,0
2018-02-08,BETS-11,63,40053.51,NA,0
2018-02-01, BGNL-80 ,65,11096.8,188345.25,0
2018-02-18,BKTH-04,49,18170.18,284460.9,1
2018-02-14,  BLZJ-60  ,148,100647.4,859497.4,0
2018-02-19, BNEK-88 ,127,66301.62,2043643.34,1
2018-02-01,BOAH-01,133,50994.86,NA,0
2018-02-12,BORR-0400,37,4726.38,41462.19,0
2018-02-17,BPBH-11,32,10671.04,35322,1
2018-02-08,BQBX-87,53,14568.11,160984.46,0
2018-02-04,BRNM-67,168,64599.36,1682588.68,0
2018-02-24, BTOY-69 ,105,52830.75,1010974.68,0
2018-02-01,BVND-31,52,24465.48,153942.32,1
2018-02-26,BVRT-86,101,23933.97,725218.5,0
2018-02-08,BVZX-93,74,21727.88,778423.1,1
2018-02-12,BWVK-94,116,22227.92,286657.5,0
2018-02-19,  BXCG-45  ,133,39442.48,1086838.81,0
2018-02-21,BZAO-84,30,10652.4,141096.12,1
2018-10-2,BZOC-10,142,72236.82,670829.58,0
2018-02-02,CCGI-5800,159,NA,543080.25,0
2018-02-21,CDIB-55,94,22613.58,985445.16,0
2018-02-23,CHSM-02,52,13192.92,213000.15,0
2018-02-02,CLKS-21,105,24198.3,433766.88,0
2018-02-19,CNGK-74,27,7213.05,46146.74,1
2018-02-25,COGZ-02,59,8126.66,161369.91,1
2018-02-10,CTKW-58,148,45800.08,941271.84,0
2018-02-13,CUCC-12,28,8409.8,54346.11,1
2018-02-19,CVSM-61,46,17895.84,NA,0
2018-02-13,CWVJ-79,106,38965.6,1763050.64,0
2018-02-13,CZAZ-20,82,15825.18,396886.42,1
2018-3-2,DALN-27,91,26110.63,864110.26,1
2018-02-07,DBJK-96,NA,39890.81,1153600.65,0
2018-02-14,DGFH-17,58,19236.28,332347.4,1
2018-02-20, DGHU-53 ,106,28197.06,805360.1,0
2018-02-26,DHEN-55,125,30126.25,682907.94,0
2018-02-06,DJGP-25,125,61462.5,608592.69,0
2018-02-20,DJLH-51,135,38329.2,1272967.2,0
2018-02-23,DLLP-38,85,23487.2,185174.64,0
2018-02-03,DNYC-1700,38,11149.96,85701,1
2018-02-09,DRHS-49,149,45970.97,983664.02,0
2018-02-27,DSSL-68,NA,51352.73,1059712.2,0
2018-02-26,DTVV-40,145,42244.3,566137.4,0
2018-02-09,DUYT-54,33,14181.42,29192.58,1
2018-7-2,DVOS-72,110,33627,588620.89,0
2018-02-05,DWCT-33,96,22083.84,783285.1,0
2018-02-26,DWRR-51,94,33353.08,1929361.28,1
2018-02-10,DYAC-55,51,10431.54,133800.03,0
2018-02-16,  EABV-83  ,162,93072.24,667031.97,0
2018-02-19,EADB-29,42,7147.56,57718.96,0
2018-21-2,EALM-41,151,25194.35,990618.02,0
2018-02-26,EFIJ-41,133,50879.15,2301050.96,0
2018-02-10,EGEJ-42,38,10694.72,NA,0
2018-02-21,EIJS-05,100,69083,1313580.24,1
2018-02-16,EJHQ-70,74,21301.64,348340.87,1
2018-02-21,  EKGB-30  ,39,7342.92,154882.56,1
2018-02-04,EKLL-99,95,49866.45,NA,0
2018-02-05,EMMR-82,129,44112.84,1557594.06,0
2018-02-03,EOIW-74,135,62947.8,2530358.05,0
2018-02-09,EPFE-78,155,50812.1,632071.13,0
2018-02-14,EQXZ-18,124,31693.16,1091663.44,0
2018-02-12,ESRT-15,137,54264.33,564798.74,0
2018-02-07,ETWL-0800,68,14169.84,120428.8,1
2018-02-25,EVBZ-97,137,45729.23,1248894.48,0
2018-02-24,  EVIB-91  ,58,15901.86,495537.26,0
2018-02-06,EXQK-17,36,12817.08,101144.58,1
2018-02-23,EXZI-94,42,13873.02,111478.48,1
2018-02-02, EYPW-38 ,35,11492.95,38223.24,0
2018-02-16,  EZIB-95  ,74,27812.9,486128.87,1
2018-02-20,FAZF-63,122,37716.3,621152.86,0
2018-02-25,FEFC-80,64,20134.4,259678.61,0
2018-02-25,FEIE-56,149,37224.67,3687761.74,0
2018-02-05,FGAR-76,61,15114.58,366562.85,1
2018-02-25,FGIX-57,148,24347.48,1857452.87,0
2018-02-26,FHRD-1800,142,73125.74,3126295.2,0
2018-19-2,FKAF-79,126,NA,380298.33,0
2018-02-18,FORU-75,45,13264.65,289412.55,1
2018-02-07,FOZM-21,NA,NA,816427.72,1
2018-02-05,FRVM-45,NA,NA,309848.88,0
2018-02-25,FSCQ-90,92,22384.52,529532.43,0
2018-02-17,FTIC-42,139,55556.91,845935.23,0
2018-02-19,FVHQ-72,138,85833.24,1356869.98,0
2018-02-13,FWNA-6600,125,50400,1054480,0
2018-02-21,FWSF-64,39,11065.47,97208.37,1
2018-02-17, FWXY-88 ,74,17617.18,271616.54,0
2018-02-04,FYQD-98,36,18728.28,85921.62,1
2018-02-27,FZLO-08,66,23522.4,246790,1
2018-02-27,GADO-05,64,25431.68,146579.8,0
2018-02-09,GAWB-92,111,26759.88,715592.34,0
2018-02-24,GBKF-37,128,30108.16,2391320.58,0
2018-02-21,GBMI-21,58,18992.68,612317.52,1
2018-02-11,GGGM-03,94,50545.68,189289.6,1
2018-02-26, GGQL-80 ,91,25371.71,358129.89,0
2018-02-22,GHDP-86,30,7924.5,66926.76,1
2018-02-22, GHOU-19 ,86,43810.12,1108262.7,1
2018-02-24,  GIKU-2200  ,96,21844.8,368475.44,0
2018-25-2,GINQ-80,57,19993.32,573716,0
2018-02-05,  GJGZ-66  ,127,40105.33,451865.26,0
2018-02-13,GJTF-49,36,14074.2,303979.2,1
2018-02-03,GKBW-36,77,33153.12,477712.44,1
