firm_id,date,sales_t,firm_sector,employment_t,wage_bill_t,revenue_t,adopt_t
AAAI-15,2010-01-01,11382.0,Hospitality,146.0,42499.14,741992.58,0
AAAI-15,2010-02-01,13195.0,Hospitality,170.0,57184.6,1056391.7,0
AAAI-15,2010-03-01,18955.0,Hospitality,152.0,43399.04,1710688.75,0
AAAI-15,2010-04-01,18423.0,Hospitality,144.0,50585.76,1737841.59,0
AAAI-15,2010-05-01,12744.0,Hospitality,143.0,48956.05,990846.0,0
AAAI-15,2010-06-01,13118.0,Hospitality,167.0,55418.95,1061246.2,0
AAAI-15,2010-07-01,17215.0,Hospitality,128.0,37000.96,1561572.65,0
AAAI-15,2010-08-01,12550.0,Hospitality,141.0,39939.66,925186.0,0
AAAI-15,2010-09-01,,Hospitality,139.0,40757.58,,0
AAAI-15,2010-10-01,15101.0,Hospitality,143.0,49214.88,1111735.62,0
AAAI-15,2010-11-01,13750.0,Hospitality,141.0,43781.91,1186075.0,0
AAAI-15,2010-12-01,11063.0,Hospitality,140.0,36134.0,904289.62,0
AAAI-15,2011-01-01,15024.0,Hospitality,135.0,38264.4,1490080.32,0
AAAI-15,2011-02-01,11619.0,Hospitality,123.0,36701.97,1094509.8,0
AAAI-15,2011-03-01,10057.0,Hospitality,152.0,48661.28,813711.87,0
AAAI-15,2011-04-01,11231.0,Hospitality,156.0,45640.92,1253267.29,0
AAAI-15,2011-05-01,13104.0,Hospitality,135.0,34136.1,1289695.68,0
AAAI-15,2011-06-01,11231.0,Hospitality,139.0,39282.79,1186442.84,0
AAAI-15,2011-07-01,,Hospitality,167.0,51881.89,,0
AAAI-15,2011-08-01,15256.0,Hospitality,146.0,51719.04,1701654.24,0
AAAI-15,2011-09-01,10824.0,Hospitality,139.0,49721.69,1014425.28,0
AAAI-15,2011-10-01,11786.0,Hospitality,144.0,44686.08,1056850.62,0
AAAI-15,2011-11-01,13142.0,Hospitality,132.0,43822.68,1462836.02,0
AAAI-15,2011-12-01,11183.0,Hospitality,163.0,56057.33,946752.78,0
AAAI-15,2012-01-01,14494.0,Hospitality,154.0,49906.78,1468242.2,0
AAAI-15,2012-02-01,14105.0,Hospitality,,,1379186.9,0
AAAI-15,2012-03-01,13988.0,Hospitality,153.0,52283.16,,0
AAAI-15,2012-04-01,14642.0,Hospitality,,56904.0,1591585.4,0
AAAI-15,2012-05-01,22260.0,Hospitality,138.0,51923.88,2658511.8,0
AAAI-15,2012-06-01,14500.0,Hospitality,147.0,48014.61,1379675.0,0
AAAI-15,2012-07-01,12156.0,Hospitality,135.0,46570.95,1080425.28,0
AAAI-15,2012-08-01,9398.0,Hospitality,143.0,40676.35,911793.96,0
AAAI-15,2012-09-01,13925.0,Hospitality,149.0,55861.59,1474518.25,0
AAAI-15,2012-10-01,16253.0,Hospitality,150.0,44581.5,1573290.4,0
AAAI-15,2012-11-01,16613.0,Hospitality,146.0,58364.96,1778587.78,0
AAAI-15,2012-12-01,13376.0,Hospitality,142.0,53734.22,1182839.68,0
AAAI-15,2013-01-01,10918.0,Hospitality,147.0,53757.9,1061011.24,0
AAAI-15,2013-02-01,12132.0,Hospitality,143.0,50396.06,1032675.84,0
AAAI-15,2013-03-01,13745.0,Hospitality,150.0,52290.0,1246121.7,0
AAAI-15,2013-04-01,,Hospitality,138.0,48065.4,,0
AAAI-15,2013-05-01,14278.0,Hospitality,151.0,55780.91,1356695.56,0
AAAI-15,2013-06-01,13365.0,Hospitality,144.0,,1227307.95,0
AAAI-15,2013-07-01,13047.0,Hospitality,136.0,43685.92,1121781.06,0
AAAI-15,2013-08-01,,Hospitality,158.0,48390.66,711362.4,0
AAAI-15,2013-09-01,14803.0,Hospitality,148.0,49995.88,1495251.03,0
AAAI-15,2013-10-01,13896.0,Hospitality,144.0,50407.2,1234798.56,0
AAAI-15,2013-11-01,11641.0,Hospitality,,,892282.65,0
AAAI-15,2013-12-01,16299.0,Hospitality,135.0,46203.75,1432845.09,0
AAAI-15,2014-01-01,9876.0,Hospitality,135.0,42573.6,936442.32,0
AAAI-15,2014-02-01,13995.0,Hospitality,152.0,60116.0,950540.4,0
AAAI-15,2014-03-01,15986.0,Hospitality,,,1198310.56,0
AAAI-15,2014-04-01,11912.0,Hospitality,142.0,41712.5,806204.16,0
AAAI-15,2014-05-01,12946.0,Hospitality,136.0,42593.84,1044742.2,0
AAAI-15,2014-06-01,14969.0,Hospitality,145.0,56599.3,1104113.44,0
AAAI-15,2014-07-01,18748.0,Hospitality,134.0,51777.6,1253491.28,0
