firm_id,date,sales_t,firm_sector
AAAI-15,2010-01-01,11382.0,Hospitality
AAAI-15,2010-02-01,13195.0,Hospitality
AAAI-15,2010-03-01,18955.0,Hospitality
AAAI-15,2010-04-01,18423.0,Hospitality
AAAI-15,2010-05-01,12744.0,Hospitality
AAAI-15,2010-06-01,13118.0,Hospitality
AAAI-15,2010-07-01,17215.0,Hospitality
AAAI-15,2010-08-01,12550.0,Hospitality
AAAI-15,2010-09-01,,Hospitality
AAAI-15,2010-10-01,15101.0,Hospitality
AAAI-15,2010-11-01,13750.0,Hospitality
AAAI-15,2010-12-01,11063.0,Hospitality
AAAI-15,2011-01-01,15024.0,Hospitality
AAAI-15,2011-02-01,11619.0,Hospitality
AAAI-15,2011-03-01,10057.0,Hospitality
AAAI-15,2011-04-01,11231.0,Hospitality
AAAI-15,2011-05-01,13104.0,Hospitality
AAAI-15,2011-06-01,11231.0,Hospitality
AAAI-15,2011-07-01,,Hospitality
AAAI-15,2011-08-01,15256.0,Hospitality
AAAI-15,2011-09-01,10824.0,Hospitality
AAAI-15,2011-10-01,11786.0,Hospitality
AAAI-15,2011-11-01,13142.0,Hospitality
AAAI-15,2011-12-01,11183.0,Hospitality
AAAI-15,2012-01-01,14494.0,Hospitality
AAAI-15,2012-02-01,14105.0,Hospitality
AAAI-15,2012-03-01,13988.0,Hospitality
AAAI-15,2012-04-01,14642.0,Hospitality
AAAI-15,2012-05-01,22260.0,Hospitality
AAAI-15,2012-06-01,14500.0,Hospitality
AAAI-15,2012-07-01,12156.0,Hospitality
AAAI-15,2012-08-01,9398.0,Hospitality
AAAI-15,2012-09-01,13925.0,Hospitality
AAAI-15,2012-10-01,16253.0,Hospitality
AAAI-15,2012-11-01,16613.0,Hospitality
AAAI-15,2012-12-01,13376.0,Hospitality
AAAI-15,2013-01-01,10918.0,Hospitality
AAAI-15,2013-02-01,12132.0,Hospitality
AAAI-15,2013-03-01,13745.0,Hospitality
AAAI-15,2013-04-01,,Hospitality
AAAI-15,2013-05-01,14278.0,Hospitality
AAAI-15,2013-06-01,13365.0,Hospitality
AAAI-15,2013-07-01,13047.0,Hospitality
AAAI-15,2013-08-01,,Hospitality
AAAI-15,2013-09-01,14803.0,Hospitality
AAAI-15,2013-10-01,13896.0,Hospitality
AAAI-15,2013-11-01,11641.0,Hospitality
AAAI-15,2013-12-01,16299.0,Hospitality
AAAI-15,2014-01-01,9876.0,Hospitality
AAAI-15,2014-02-01,13995.0,Hospitality
AAAI-15,2014-03-01,15986.0,Hospitality
AAAI-15,2014-04-01,11912.0,Hospitality
AAAI-15,2014-05-01,12946.0,Hospitality
AAAI-15,2014-06-01,14969.0,Hospitality
AAAI-15,2014-07-01,18748.0,Hospitality
AAAI-15,2014-08-01,10351.0,Hospitality
AAAI-15,2014-09-01,15209.0,Hospitality
AAAI-15,2014-10-01,16934.0,Hospitality
AAAI-15,2014-11-01,12657.0,Hospitality
AAAI-15,2014-12-01,14542.0,Hospitality
AAAI-15,2015-01-01,16947.0,Hospitality
AAAI-15,2015-02-01,13743.0,Hospitality
AAAI-15,2015-03-01,17220.0,Hospitality
AAAI-15,2015-04-01,18123.0,Hospitality
AAAI-15,2015-05-01,14388.0,Hospitality
AAAI-15,2015-06-01,14618.0,Hospitality
AAAI-15,2015-07-01,13444.0,Hospitality
AAAI-15,2015-08-01,22527.0,Hospitality
AAAI-15,2015-09-01,17855.0,Hospitality
