date,firm_id,employment_t,wage_bill_t,revenue_t,adopt_t
2017-05-26,AAAI-15,155,55790.7,1421723.2,0
2017-05-09,  ABFM-90  ,65,22308.65,435290.55,1
2017-05-01,ABZO-32,102,33038.82,1484261.09,0
2017-05-04,ACWI-63,60,7929,432619.04,0
2017-05-03,ADAY-83,48,12566.4,142465.5,0
2017-17-5,AEOJ-42,117,51276.42,1055040,0
2017-05-19,  AGNI-54  ,43,17190.11,189647.2,1
2017-05-25,AGQV-46,147,53418.33,1868071.82,0
2017-05-11,AGZJ-96,52,19012.24,81506.58,0
2017-05-11,AJHZ-77,47,18249.63,676213.23,1
2017-05-14, AJMB-61 ,91,16745.82,514042.02,1
2017-05-13,ALWP-80,32,7123.2,NA,0
2017-05-08,ANGH-88,72,29759.76,203847.18,1
2017-05-11,ANTI-83,123,55459.47,493858.98,0
2017-05-06,ANUA-91,146,51863.58,505738.2,0
2017-05-14,AOCF-99,121,23604.68,973063.66,0
2017-05-18,AOQS-19,128,42163.2,1493769.95,0
2017-05-14,APQU-61,96,19878.72,350319.34,0
2017-05-02,AQXG-43,141,63541.65,1083210.68,0
2017-05-04,ARNP-18,53,33270.22,143389.68,1
2017-05-19,ATFU-64,25,2589.75,39080.54,0
2017-05-11,AUWB-47,38,11997.74,69705.72,1
2017-05-29,BBMC-11,78,32443.32,264552.5,0
2017-05-12, BETS-1100 ,60,26089.8,62745.33,0
2017-05-21,BGNL-8000,56,9005.36,142260.54,0
2017-05-01,BKTH-04,54,21306.24,441315,1
2017-05-25,BLZJ-60,144,94965.12,2098252.08,0
2017-05-30,BNEK-88,104,54769.52,2771332.2,1
2017-05-04,BOAH-01,110,30913.3,1262625.22,0
2017-05-04,BORR-0400,35,4956.7,49162,0
2017-14-5,BPBH-11,39,11018.28,41834.45,1
2017-05-12,BQBX-87,56,14980.56,101541.44,0
2017-05-05,BRNM-67,163,51997,2350020.06,0
2017-05-06,BTOY-69,118,57108.46,898477.65,0
2017-05-04,BVND-31,54,28021.14,191901.28,1
2017-05-29,BVRT-86,99,27196.29,488399.94,0
2017-05-19,BVZX-93,67,21132.47,466725.6,1
2017-05-07,BWVK-94,111,17039.61,210965.58,0
2017-05-14,BXCG-45,152,41664.72,766778.74,0
2017-05-23,BZAO-84,30,11897.1,87253.4,1
2017-05-27,BZOC-10,124,47861.52,504189.3,0
2017-05-21,CCGI-58,NA,NA,761811.05,0
2017-05-13,CDIB-55,89,23142.67,464386,0
2017-05-18,CHSM-02,52,12012.52,146533.86,0
2017-05-07,CLKS-21,95,21226.8,265093.62,0
2017-05-27,CNGK-74,27,7664.76,66216.44,1
2017-05-17,COGZ-02,51,8139.6,190875.95,1
2017-05-10,CTKW-5800,136,58900.24,1574460.74,0
2017-05-02,CUCC-12,NA,NA,35266.84,1
2017-05-20,CVSM-61,40,18552,94159.8,0
2017-05-06,CWVJ-79,99,29059.47,696631.17,0
2017-05-10,CZAZ-20,87,16740.54,238320,1
2017-05-04,DALN-27,91,31260.32,1278239.4,1
2017-05-20,DBJK-96,127,43624.5,1238451,0
2017-05-22,DGFH-17,61,21293.27,278123.25,1
2017-05-30,DGHU-53,94,31686.46,901544.02,0
2017-05-22,DHEN-55,121,17459.09,772030.5,0
2017-05-04,DJGP-25,133,77292.95,643397.7,0
2017-05-25,DJLH-51,119,33995.92,963470.62,0
2017-05-20,DLLP-38,84,22648.08,115719.97,0
2017-05-08,DNYC-17,39,14309.49,73081.44,1
2017-05-17,DRHS-49,141,63588.18,NA,0
2017-05-25,DSSL-68,133,46164.3,826461.22,0
2017-05-05,DTVV-4000,168,60869.76,996950.7,0
2017-05-22,DUYT-54,30,11727.3,36597.6,1
2017-05-19,DVKY-33,44,25780.04,125867.2,1
2017-05-03,DVOS-72,114,33378.06,467629.2,0
2017-05-29,DWCT-33,97,28206.63,774534.62,0
2017-05-02,DWRR-51,90,25081.2,1369896.2,1
2017-05-21,  DYAC-55  ,55,15920.3,95918.66,0
2017-05-07,EABV-83,NA,NA,631233.28,0
2017-05-12,EADB-29,39,9281.61,69400.8,0
2017-05-07,EFIJ-41,138,38602.74,2163863.04,0
2017-05-19,EGEJ-42,37,12101.22,218945.65,0
2017-05-12,EIJS-05,90,49422.6,1640876.8,1
2017-05-25,EJHQ-70,68,19318.8,240179.04,1
2017-05-10,EKGB-30,43,10189.71,153035.37,1
2017-05-12,EKLL-99,92,50139.08,NA,0
2017-05-05,EMMR-82,126,65206.26,1142024.85,0
2017-05-14,EOIW-74,136,51123.76,1706299.98,0
2017-05-23,EPFE-78,155,51325.15,588957.12,0
2017-05-18,  EQXZ-18  ,116,36005.24,1476875.4,0
2017-05-28,  ESRT-15  ,130,75805.6,823428.21,0
2017-05-28,ETWL-08,60,14569.8,229015.17,1
2017-05-16,EVBZ-97,165,69740.55,1011935.49,0
2017-05-17,EVIB-91,63,17946.18,191178.88,0
2017-05-18,EXQK-17,36,11923.56,119104.56,1
